video_id,title,published_at,view_count,channel_id
vM8qRbLOx1U,"FBI 'hijacked' the DOJ, AG, says Kash Patel, pointing to Hillary Clinton for proof #shorts",2025-05-18T21:01:00Z,120656,UCXIJgqnII2ZOINSWNOGFThA
WhyO6bOMWw0,THE HUNT IS ON: FBI’s No. 2 man delivers stark warning to predators #foxnews #us #fox #danbongino,2025-05-18T19:00:28Z,80727,UCXIJgqnII2ZOINSWNOGFThA
wUQr5JeUliI,FBI officials hold press briefing on Palm Springs fertility clinic attack,2025-05-18T17:33:20Z,101586,UCXIJgqnII2ZOINSWNOGFThA
VtSJXefy-Ig,‘THIS IS A BIG THING’: Speaker Johnson on passing Trump tax cuts #foxnews #news #politics,2025-05-18T16:14:58Z,53579,UCXIJgqnII2ZOINSWNOGFThA
qWZrUB2--qw,Speaker Johnson: This is a ‘once-in-a-lifetime’ opportunity,2025-05-18T16:01:23Z,166044,UCXIJgqnII2ZOINSWNOGFThA
MuXZg-lpXkE,'ALLERGIC TO TRANSPARENCY': New audio reveals Biden mental state before 2024 election #news #biden,2025-05-18T15:02:41Z,71396,UCXIJgqnII2ZOINSWNOGFThA
FlMCas3878U,"2 dead, 19 hurt after Mexican ship collides with Brooklyn Bridge",2025-05-18T14:30:10Z,249565,UCXIJgqnII2ZOINSWNOGFThA
hLemM_INYI8,'SHE HAS DONE NOTHING': AOC's district reportedly sees 70% crime surge,2025-05-18T13:45:06Z,263305,UCXIJgqnII2ZOINSWNOGFThA
To_Kr63Q23k,AOC's district reportedly sees 70% crime surge #foxnews #news #us #fox #aoc #shorts #us,2025-05-18T13:34:34Z,73571,UCXIJgqnII2ZOINSWNOGFThA
K-Nnh5Ms2tY,FLASHBACK: Democrats attempt to downplay Biden-Hur report,2025-05-18T12:00:37Z,96306,UCXIJgqnII2ZOINSWNOGFThA
quWo6kCYGns,Trump has been 'gracious' with China: Gordon Chang,2025-05-18T08:01:02Z,35647,UCXIJgqnII2ZOINSWNOGFThA
Obs-AYarddk,"Why GOP holdouts tanked Trump’s ‘big, beautiful bill’ in a House Committee vote",2025-05-18T07:00:32Z,244355,UCXIJgqnII2ZOINSWNOGFThA
1qlOHrCOzU8,‘MORE CODDLED’: New Yorkers sound off on young men in America,2025-05-18T06:30:02Z,22643,UCXIJgqnII2ZOINSWNOGFThA
n8mJIMdpmPE,‘DIRTY COP’: Trump eviscerates Comey for '86 47' post,2025-05-18T05:30:34Z,56600,UCXIJgqnII2ZOINSWNOGFThA
wlrfUGwFUgk,House Dems in hot water for NJ ICE protest,2025-05-18T04:30:39Z,84133,UCXIJgqnII2ZOINSWNOGFThA
